City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,howrah,22.5892,88.3103,300.15,94,75,2.06,IN,1727217927
84,el bauga,18.262,33.9081,308.54,16,35,4.79,SD,1727217929
85,lumut,4.2323,100.6298,299.16,89,20,0.0,MY,1727217930
86,shache,38.4167,77.2406,294.45,29,0,1.87,CN,1727217932
87,saint-pierre,-21.3393,55.4781,293.97,73,0,2.06,RE,1727217933
88,longyearbyen,78.2186,15.6401,269.06,74,20,1.54,SJ,1727217934
89,kenai,60.5544,-151.2583,283.79,84,100,4.12,US,1727217935
90,kolondieba,11.0882,-6.8926,296.71,94,95,2.14,ML,1727217936
91,lobujya,27.95,86.8167,275.01,83,100,1.58,NP,1727217938
92,flying fish cove,-10.4217,105.6791,297.97,94,100,3.09,CX,1727217939
93,hithadhoo,-0.6,73.0833,301.01,75,86,5.38,MV,1727217940
94,boa vista,2.8197,-60.6733,307.14,43,40,2.06,BR,1727217745
95,taber,49.8167,-112.1518,302.15,32,1,2.06,CA,1727217733
96,puerto armuelles,8.2833,-82.8667,297.64,91,100,2.24,PA,1727217944
97,nabire,-3.3667,135.4833,299.81,70,81,1.12,ID,1727217945
98,north battleford,52.7834,-108.2847,299.2,38,0,4.63,CA,1727217946
99,albany,42.6001,-73.9662,290.17,64,52,0.45,US,1727217822
100,dudinka,69.4058,86.1778,276.62,87,90,5.86,RU,1727217948
101,college,64.8569,-147.8028,281.14,61,100,0.0,US,1727217949
102,avarua,-21.2078,-159.775,299.18,73,75,5.66,CK,1727217951
103,martapura,-3.4167,114.85,299.2,94,20,1.03,ID,1727217952
104,iskateley,67.6803,53.1512,272.29,76,12,2.46,RU,1727217953
105,caiaponia,-16.9567,-51.8103,302.1,21,54,1.92,BR,1727217954
106,mount pearl,47.5166,-52.7813,283.79,94,100,4.63,CA,1727217955
107,stanley,54.868,-1.6985,281.08,90,20,2.57,GB,1727217957
108,tadine,-21.55,167.8833,298.08,64,10,5.85,NC,1727217958
109,ilulissat,69.2167,-51.1,277.16,75,97,0.0,GL,1727217959
110,nakuru,-0.2833,36.0667,288.14,79,84,2.35,KE,1727217960
111,carnot,4.9409,15.8665,293.58,97,95,0.62,CF,1727217962
112,nueva gerona,21.8833,-82.8,300.0,81,100,10.35,CU,1727217963
113,kingston,17.997,-76.7936,300.68,78,40,5.14,JM,1727217696
114,meizhou,24.2977,116.1072,296.72,99,100,0.48,CN,1727217965
115,pacocha,-17.5833,-71.3333,288.82,86,4,1.88,PE,1727217968
116,laayoune,27.1622,-13.2032,294.34,100,20,7.72,EH,1727217969
117,bridgewater,44.3835,-64.5155,289.97,72,91,4.12,CA,1727217970
118,palmer,42.1584,-72.3287,290.33,64,75,0.0,US,1727217749
119,jamestown,42.097,-79.2353,289.83,94,100,4.63,US,1727217973
120,petropavlovsk-kamchatsky,53.0452,158.6483,283.48,62,20,3.0,RU,1727217974
121,sitka,57.0531,-135.33,286.09,71,75,3.09,US,1727217975
122,port elizabeth,-33.918,25.5701,290.55,96,20,7.72,ZA,1727217976
123,sault ste. marie,46.5168,-84.3333,289.31,100,100,4.12,CA,1727217847
124,port mathurin,-19.6833,63.4167,295.26,76,10,9.77,MU,1727217978
125,puerto ayora,-0.7393,-90.3518,292.9,95,94,2.68,EC,1727217980
126,dunedin,-45.8742,170.5036,284.35,41,45,1.32,NZ,1727217981
127,mityana,0.4175,32.0228,291.79,67,95,0.84,UG,1727217982
128,nagornyy,52.7959,83.5498,277.94,68,99,2.39,RU,1727217983
129,sao joao da barra,-21.6403,-41.0511,297.2,85,0,9.89,BR,1727217984
130,afaahiti,-17.75,-149.2833,297.98,75,56,2.89,PF,1727217987
131,bechar,31.6167,-2.2167,296.33,73,20,3.6,DZ,1727217988
132,molo,-0.2479,35.7374,285.3,86,99,1.03,KE,1727217989
133,olonkinbyen,70.9221,-8.7187,274.42,81,37,7.84,SJ,1727217990
134,vorkuta,67.5,64.0,273.14,91,99,11.68,RU,1727217992
135,kudahuvadhoo,2.6708,72.8944,301.96,74,17,9.04,MV,1727217993
136,udomlya,57.8794,34.9925,283.86,70,36,2.84,RU,1727217994
137,betio village,1.358,172.9211,303.17,65,34,2.41,KI,1727217995
138,qaqortoq,60.7167,-46.0333,276.96,94,34,2.5,GL,1727217996
139,laguna,38.421,-121.4238,311.61,22,0,0.89,US,1727217997
140,vilyuysk,63.7553,121.6247,280.74,87,100,3.57,RU,1727217999
141,gilmer,32.7287,-94.9424,303.25,45,0,2.06,US,1727217743
142,lerwick,60.1545,-1.1494,282.11,75,20,8.35,GB,1727218001
143,lorengau,-2.0226,147.2712,301.75,77,97,4.5,PG,1727218002
